Tactic 	Technique	Procedure	Indicator
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	18 accounts 
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	2 Pages
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	4 Groups
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	5 accounts 
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	x[.]com/pemadol99851
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.11 Creating online petitions 	change[.]org/p/oppose-the-militarization-of-the-siang-district-need-dialogue-not-guns
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.11 Creating online petitions 	change[.]org/p/support-the-formation-of-a-new-tibetan-government-in-exile
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.12 Acquiring other online accounts	puranchettri910[.]blogspot.com
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.12 Acquiring other online accounts	thlhasa[.]blogspot.com
			
1. Disguising assets	1.2 Posing as non-existent person	1.2.2 Posing as fictional journalist	The operation created a fictitious persona posing as a journalist in the Arunachal Pradesh region of India
1. Disguising assets	1.2 Posing as non-existent person	1.2.8 Posing as fictional person in target region	Most of the accounts posed as Tibetan expats, showed little complexity and were used primarily to reshare particular content from real people
			
5. Evading detection	5.5 Obfuscating infrastructure	5.5.1 Using proxy IP in target country	They used proxy IPs to conceal their origin and appear to be coming from India, Bhutan or Nepal
			
6. Indiscriminate engagement	6.2 Amplifying with likely fake accounts on social media	6.2.1 Amplifying with likely fake accounts on Facebook	The individuals behind this activity used fake accounts  to manage Pages, post and amplify other people’s content.
			
7. Targeted engagement	7.1 Running ads	7.1.1 Advertising to promote content	Around $xx in spending for ads, paid for mostly in xx
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 2,400 accounts followed one or more of these Pages
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.3 Acquiring Group members	About 120 accounts joined one or more of these Groups
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	About 100 accounts followed one or more of these Instagram accounts. 
7. Targeted engagement	7.3 Engaging with specific audience	7.3.4  Utilising Language-Specific Campaigns	The network posted primarily in English and Tibetan about news related to Tibet and its politics
7. Targeted engagement	7.5 Directing online traffic	7.5.2 Directing audience to website	This campaign frequently amplified anti-Dalai Lama content posted by authentic voices including sharing links to websites like Storify News, Dakini Translations and Publications, and a Change dot org petition
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	The network posted criticism of exiled Tibetan leader the Dalai Lama, conspiracies about his travel and health, and claims that the United States is using him as a lever against China
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.2 Posting positive content about named individuals institutions	The individuals behind this activity posted supportive commentary about Ogyen Trinley Dorje, a self-exiled Tibetan buddhist leader, and the need to normalize relations between Tibet and China